			0	1	2	3	4	5	6	7
can0	1BD		0D	46	0D	9C	0	0	1	6B
can0	356		67	FF	0	FF	0	0		
can0	186		18	2C	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	C4	90
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	2C	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0A	80	0B	B6	AA
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	218		98							
can0	354		0	0	0	0	0	0	0	0
can0	4FA		8	0						
can0	671		2	0						
can0	5DE		4	0	0	80	0	0	0	42
can0	552		0	4						
can0	303		59	6A	F4	18	66	40	0	
can0	3FA		0	0						
can0	186		18	2C	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	8E	A0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	511		0	BD	AA	99	0E	38	CE	
can0	596		8A	1C	8B	60	1A	0	0	0
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	2C	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	5DA		8A	61	40	0	D5	35	EB	0
can0	634		80	0	0					
can0	648		FF	FF	F0	64	C8	64	FA	1E
can0	65C		C0	5A	0					
can0	66A		20	FE	0	1C	1C	C0	1F	2
can0	12E		C5	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	7F	F6	80	0B	B8	BD
can0	29A		0	0	0	0	0	0	0E	F1
can0	2B7		0	E0	FF	FE	1			
can0	392		0	46	0	0	0			
can0	673		0	0	FF	FF	FF	FF	0	
can0	575		40	14						
can0	1BD		0D	46	0D	9C	0	0	1	6B
can0	186		18	16	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	43	B0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	2C	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	593		0F	FF	0	0				
can0	12E		C5	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	7F	F6	80	0B	BA	BB
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	352		5C	0	0	0				
can0	657		0	0						
can0	68B		F2	0C	E4					
can0	186		18	16	31	A3	1D	0	21	
can0	189		31	D3	1C	3F	70	CE	0	0
can0	18A		31	D8	0	6	A2	4	0E	C0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	28	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	62C		0							
can0	1A0		F0							
can0	563		28	30						
can0	12E		C6	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0A	80	0B	BC	A4
can0	29A		0	0	0	0	0	0	0F	F0
can0	2B7		0	E0	FF	FE	1			
can0	4AC		80							
can0	45C		0	0	0	0				
can0	5DF		0	A4						
can0	1BD		0D	46	0D	9C	0	0	1	6B
can0	186		18	16	31	A3	1D	0	21	
can0	189		31	D3	1D	3F	70	CE	0	0
can0	18A		31	D8	0	6	A2	4	C3	D0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	356		67	FF	0	FF	0	0		
can0	3F7		8	10	4					
can0	17A		31	D5	45	AA	0	0	32	0
can0	17C		18	24	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C6	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0A	80	0B	BE	A2
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	354		0	0	0	0	0	0	0	0
can0	653		0	41	58	0				
can0	186		18	16	31	A3	1D	0	21	
can0	189		31	D3	1D	3F	70	CE	0	0
can0	18A		31	D8	0	6	A2	4	89	E0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	D5	45	AA	0	0	32	0
can0	17C		18	20	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FD	7F	B0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	7F	F6	80	0B	A0	D5
can0	29A		0	0	0	0	0	0	0	FF
can0	2B7		0	E0	FF	FE	1			
can0	564		33	E0						
can0	186		18	1A	31	B3	1D	0	21	
can0	189		31	D3	1D	3F	70	CE	0	0
can0	18A		31	D8	0	6	A2	4	44	F0
can0	1BD		0D	46	0D	9C	0	0	1	6B
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	17A		31	D5	45	AA	0	0	32	0
can0	17C		18	1C	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	3B7		38	FA	FF	8F	7F	46	FF	FF
can0	12E		C5	7F	FD	7F	B0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	A2	C8
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	352		5C	0	0	0				
can0	392		0	46	0	0	0			
can0	4F8		58	14	30	FF	FF	3	FF	0
can0	668		40	0						
can0	186		18	1A	31	B3	1D	0	21	
can0	189		31	D3	1D	3F	70	CE	0	0
can0	18A		31	D8	0	6	A2	4	3B	0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	D5	45	AA	0	0	32	0
can0	17C		18	18	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C6	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	A4	C6
can0	29A		0	0	0	0	0	0	1	FE
can0	2B7		0	E0	FF	FE	1			
can0	5D7		0	0	12	90	BE	90	FA	
can0	1BD		0D	5	0D	9C	0	0	1	6B
can0	186		18	1A	31	B3	1D	0	21	
can0	189		31	D3	1D	3F	70	CE	0	0
can0	18A		31	D8	0	6	A2	4	F6	10
can0	1BB		1F	62	0	0	3	0	0	0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	356		67	FF	0	FF	0	0		
can0	401		0	0	0	0	0	0	0	0
can0	17A		31	D5	45	AA	0	0	32	0
can0	17C		18	18	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	405		0	0	0	0	3C	3F	E0	0
can0	579		1	10	11	11	0	6	C3	0
can0	12E		C6	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0A	80	0B	A6	BA
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	354		0	0	0	0	0	0	0	0
can0	350		C7	4E	A3	E4	14	98	94	85
can0	500		2	39	F1	6B	1C			
can0	55D		1	1D	F0	0	92	80	0	1
can0	186		18	1A	31	B3	1D	0	21	
can0	189		31	D3	1D	3F	70	CE	0	0
can0	18A		31	D8	0	6	A2	4	BC	20
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	D5	45	AA	0	0	32	0
can0	17C		18	18	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	7F	F6	80	0B	A8	CD
can0	29A		0	0	0	0	0	0	2	FD
can0	2B7		0	E0	FF	FE	1			
can0	666		34	0	0	0				
can0	186		18	2A	31	B3	1D	0	21	
can0	189		31	D3	1D	3F	70	CE	0	0
can0	18A		31	D8	0	6	A2	4	71	30
can0	1BD		0D	5	0D	9C	0	0	1	6B
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	3F7		8	10	4					
can0	17A		31	D5	45	AA	0	0	32	0
can0	17C		18	18	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	AA	C0
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	218		98							
can0	352		5C	0	0	0				
can0	4FA		8	0						
can0	671		2	0						
can0	5DE		4	0	0	80	0	0	0	42
can0	552		0	4						
can0	303		59	1A	8B	18	66	40	0	
can0	3FA		0	0						
can0	186		18	2A	31	B3	1D	0	21	
can0	189		31	D3	1D	3F	70	CE	0	0
can0	18A		31	D8	0	6	A2	4	28	40
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	511		0	FC	73	52	79	45	B1	
can0	596		8A	1C	8B	60	1A	0	0	0
can0	17A		31	D5	45	AA	0	0	32	0
can0	17C		18	1C	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	5DA		8A	61	40	0	D5	35	EB	0
can0	634		80	0	0					
can0	648		FF	FF	F0	64	C8	64	FA	1E
can0	65C		C0	56	0					
can0	66A		20	FE	0	1C	1C	C0	1F	2
can0	12E		C6	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	AC	BE
can0	29A		0	0	0	0	0	0	3	FC
can0	2B7		0	E0	FF	FE	1			
can0	392		0	46	0	0	0			
can0	673		0	0	FF	FF	FF	FF	0	
can0	575		40	14						
can0	1BD		0D	5	0D	9C	0	0	1	6B
can0	186		18	2A	31	B3	1D	0	21	
can0	189		31	D3	1D	3F	70	CE	0	0
can0	18A		31	D8	0	6	A2	4	E5	50
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	356		67	FF	0	FF	0	0		
can0	17A		31	D5	45	AA	0	0	32	0
can0	17C		18	20	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	593		0F	FF	0	0				
can0	12E		C6	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0A	80	0B	AE	B2
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	354		0	0	0	0	0	0	0	0
can0	657		0	0						
can0	68B		F2	0C	E4					
can0	186		18	2A	31	B3	1D	0	21	
can0	189		31	D3	1C	3F	70	CE	0	0
can0	18A		31	D8	0	6	A2	4	AF	60
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	D5	45	AA	0	0	32	0
can0	17C		18	24	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	62C		0							
can0	1A0		F0							
can0	563		35	80						
can0	12E		C5	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	7F	F6	80	0B	B0	C5
can0	29A		0	0	0	0	0	0	4	FB
can0	2B7		0	E0	FF	FE	1			
can0	4AC		80							
can0	45C		0	0	0	0				
can0	5DF		0	A4						
can0	1BD		0D	5	0D	9C	0	0	1	6B
can0	186		18	32	31	B3	1D	0	21	
can0	189		31	D3	1C	3F	70	CE	0	0
can0	18A		31	D8	0	6	A2	4	62	70
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	17A		31	D5	45	AA	0	0	32	0
can0	17C		18	28	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	B2	B8
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	352		5C	0	0	0				
can0	653		0	41	58	0				
can0	186		18	32	31	B3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	9	80
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	D5	45	AA	0	0	32	0
can0	17C		18	2C	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0A	80	0B	B4	AC
can0	29A		0	0	0	0	0	0	5	FA
can0	2B7		0	E0	FF	FE	1			
can0	564		0C	20						
can0	186		18	32	31	B3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	C4	90
can0	1BD		0D	5	0D	9C	0	0	1	6B
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	356		67	FF	0	FF	0	0		
can0	3F7		8	10	4					
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	30	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	3B7		38	FA	FF	8F	7F	46	FF	FF
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	B6	B4
can0	12E		C5	7F	FC	7F	D0	FF	FF	0
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	354		0	0	0	0	0	0	0	0
can0	392		0	46	0	0	0			
can0	668		40	0						
can0	4F8		58	14	30	FF	FF	3	FF	0
can0	186		18	32	31	B3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	8E	A0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	30	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	7F	F6	80	0B	B8	BD
can0	29A		0	0	0	0	0	0	6	F9
can0	2B7		0	E0	FF	FE	1			
can0	5D7		0	0	12	90	BE	90	FA	
can0	1BD		0D	4A	0D	9C	0	0	1	6B
can0	186		18	30	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	43	B0
can0	1BB		1F	62	0	0	3	0	0	0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	3F9		0							
can0	579		1	10	11	11	0	6	C3	0
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	30	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	BA	B0
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	352		5C	0	0	0				
can0	350		C7	4E	A3	E4	14	98	94	85
can0	500		2	3D	4B	E0	C7			
can0	55D		1	1D	F0	0	92	80	0	1
can0	186		18	30	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	1A	C0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	30	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C6	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	BC	AE
can0	29A		0	0	0	0	0	0	7	F8
can0	2B7		0	E0	FF	FE	1			
can0	666		34	0	0	0				
can0	186		18	30	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	D7	D0
can0	1BD		0D	4A	0D	9C	0	0	1	6B
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	356		67	FF	0	FF	0	0		
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	30	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C6	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0A	80	0B	BE	A2
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	218		98							
can0	354		0	0	0	0	0	0	0	0
can0	4FA		8	0						
can0	671		2	0						
can0	5DE		4	0	0	80	0	0	0	42
can0	552		0	4						
can0	303		59	EC	85	18	66	40	0	
can0	3FA		0	0						
can0	186		18	30	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	9D	E0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	511		0	3B	3C	0B	E4	52	94	
can0	596		8A	1C	8B	60	1A	0	0	0
can0	5DA		8A	61	40	0	D5	35	EB	0
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	30	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	634		80	0	0					
can0	648		FF	FF	F0	64	C8	64	FA	1E
can0	65C		C0	54	0					
can0	66A		20	FE	0	1D	1D	C0	1F	2
can0	12E		C6	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	7F	F6	80	0B	A0	D5
can0	29A		0	0	0	0	0	0	8	F7
can0	2B7		0	E0	FF	FE	1			
can0	392		0	46	0	0	0			
can0	673		0	0	FF	FF	FF	FF	0	
can0	575		40	14						
can0	186		18	2C	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	50	F0
can0	1BD		0D	4A	0D	9C	0	0	1	6B
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	3F7		8	10	4					
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	30	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	593		0F	FF	0	0				
can0	12E		C6	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	A2	C8
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	352		5C	0	0	0				
can0	657		0	0						
can0	68B		F2	0C	E4					
can0	186		18	2C	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	2F	0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	2C	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	62C		0							
can0	1A0		F0							
can0	563		36	D0						
can0	12E		C6	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	A4	C6
can0	29A		0	0	0	0	0	0	9	F6
can0	2B7		0	E0	FF	FE	1			
can0	4AC		80							
can0	45C		0	0	0	0				
can0	5DF		0	A4						
can0	186		18	2C	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	E2	10
can0	1BD		0D	4A	0D	9C	0	0	1	6B
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	356		67	FF	0	FF	0	0		
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	2C	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C6	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0A	80	0B	A6	BA
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	354		0	0	0	0	0	0	0	0
can0	653		0	41	58	0				
can0	186		18	36	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	A8	20
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	2C	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	12E		C5	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	7F	F6	80	0B	A8	CD
can0	29A		0	0	0	0	0	0	0A	F5
can0	2B7		0	E0	FF	FE	1			
can0	564		1E	D0						
can0	186		18	36	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	65	30
can0	1BD		0D	4A	0D	9C	0	0	1	6B
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	30	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	AA	C0
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	352		5C	0	0	0				
can0	392		0	46	0	0	0			
can0	3B7		38	FA	FF	8F	7F	46	FF	FF
can0	668		40	0						
can0	4F8		58	14	30	FF	FF	3	FF	0
can0	186		18	36	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	3C	40
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	34	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C6	7F	FC	7F	F0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	AC	BE
can0	29A		0	0	0	0	0	0	0B	F4
can0	2B7		0	E0	FF	FE	1			
can0	5D7		0	0	12	90	BE	90	FA	
can0	186		18	36	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	F1	50
can0	1BD		0C	FF	0D	9C	0	0	1	6B
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	1BB		1F	62	0	0	3	0	0	0
can0	356		67	FF	0	FF	0	0		
can0	401		0	0	0	0	0	0	0	0
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	34	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	3F7		8	10	4					
can0	405		0	0	0	0	3C	3F	E0	0
can0	4A4		0	70	0	0	0	0	0	
can0	579		1	10	11	11	0	6	C3	0
can0	12E		C6	7F	FC	7F	F0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0A	80	0B	AE	B2
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	354		0	0	0	0	0	0	0	0
can0	350		C7	4E	A3	E4	14	98	94	85
can0	500		2	20	8C	10	C5			
can0	55D		1	1D	F0	0	92	80	0	1
can0	186		18	24	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	BB	60
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	34	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	12E		C6	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	7F	F6	80	0B	B0	C5
can0	29A		0	0	0	0	0	0	0C	F3
can0	2B7		0	E0	FF	FE	1			
can0	666		34	0	0	0				
can0	186		18	24	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A2	4	76	70
can0	1BD		0C	FF	0D	9C	0	0	1	6B
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	30	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	433		0	0	0	0	FF	DF	F8	
can0	12E		C6	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	B2	B8
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	218		98							
can0	352		5C	0	0	0				
can0	4FA		8	0						
can0	671		2	0						
